
                                  SUMMARY OF ENERGY TRANSFER AT THE SURFACE


                               SOLAR RADIATION                         LONG-WAVE RADIATION
               ------------------------------------------    -----------------------------------------
 DAY HR  YR    CANOPY     SNOW   RESIDUE    SOIL   TOTAL     CANOPY    SNOW   RESIDUE    SOIL    TOTAL  SENSIBLE  LATENT
                KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2   KJ/M2
 341  3   86       0.       0.       0.       0.       0.       0.       0.       0.      -8.      -8.       8.     -48.
 341  4   86       0.       0.       0.       0.       0.       0.       0.       0.      -4.      -4.       9.     -59.
 341  5   86       0.       0.       0.       0.       0.       0.       0.       0.      -1.      -1.      10.     -38.
 341  6   86       0.       0.       0.       0.       0.       0.       0.       0.       1.       1.      10.     -44.
 341  7   86       0.       0.       0.       0.       0.       0.       0.       0.      44.      44.      19.     -51.
 341  8   86       0.       0.       0.      18.      18.       0.       0.       0.     107.     107.      31.     -33.
 341  9   86       0.       0.       0.     155.     155.       0.       0.       0.     123.     123.      34.     -14.
 341 10   86       0.       0.       0.     201.     201.       0.       0.       0.     137.     137.      36.     -25.
 341 11   86       0.       0.       0.     275.     275.       0.       0.       0.     149.     149.     126.     -97.
 341 12   86       0.       0.       0.     339.     339.       0.       0.       0.     157.     157.      92.      48.
 341 13   86       0.       0.       0.     337.     337.       0.       0.       0.     143.     143.      78.     -42.
 341 14   86       0.       0.       0.     286.     286.       0.       0.       0.     133.     133.      51.     -12.
 341 15   86       0.       0.       0.     186.     186.       0.       0.       0.     149.     149.      40.       2.
 341 16   86       0.       0.       0.      32.      32.       0.       0.       0.     146.     146.      36.      -5.
 341 17   86       0.       0.       0.       1.       1.       0.       0.       0.      59.      59.      20.     -61.
 341 18   86       0.       0.       0.       0.       0.       0.       0.       0.      64.      64.      21.     -50.
 341 19   86       0.       0.       0.       0.       0.       0.       0.       0.      26.      26.      14.     -45.
 341 20   86       0.       0.       0.       0.       0.       0.       0.       0.      11.      11.      12.     -56.
 341 21   86       0.       0.       0.       0.       0.       0.       0.       0.      -4.      -4.      13.     -70.
 341 22   86       0.       0.       0.       0.       0.       0.       0.       0.       1.       1.      14.     -60.
 341 23   86       0.       0.       0.       0.       0.       0.       0.       0.     -14.     -14.       7.     -35.
 341 24   86       0.       0.       0.       0.       0.       0.       0.       0.     -10.     -10.       8.     -27.
 342  1   86       0.       0.       0.       0.       0.       0.       0.       0.     -26.     -26.       5.     -67.
 342  2   86       0.       0.       0.       0.       0.       0.       0.       0.     -20.     -20.      15.    -152.
 342  3   86       0.       0.       0.       0.       0.       0.       0.       0.     -14.     -14.      22.    -128.
 342  4   86       0.       0.       0.       0.       0.       0.       0.       0.      -9.      -9.      22.    -106.
 342  5   86       0.       0.       0.       0.       0.       0.       0.       0.      -6.      -6.      20.     -57.
 342  6   86       0.       0.       0.       0.       0.       0.       0.       0.      -3.      -3.      31.    -171.
 342  7   86       0.       0.       0.       0.       0.       0.       0.       0.      40.      40.      38.     -52.
 342  8   86       0.       0.       0.      18.      18.       0.       0.       0.     103.     103.      63.    -100.
 342  9   86       0.       0.       0.     114.     114.       0.       0.       0.     118.     118.      87.      21.
 342 10   86       0.       0.       0.     235.     235.       0.       0.       0.     130.     130.      70.     -41.
 342 11   86       0.       0.       0.     644.     644.       0.       0.       0.     135.     135.     103.     -69.
 342 12   86       0.       0.       0.    1198.    1198.       0.       0.       0.     126.     126.     121.    -128.
 342 13   86       0.       0.       0.     738.     738.       0.       0.       0.      97.      97.      91.     -83.
 342 14   86       0.       0.       0.     571.     571.       0.       0.       0.      81.      81.      65.    -124.
 342 15   86       0.       0.       0.     267.     267.       0.       0.       0.      97.      97.      69.     -81.
 342 16   86       0.       0.       0.      70.      70.       0.       0.       0.     100.     100.      60.    -152.
 342 17   86       0.       0.       0.       5.       5.       0.       0.       0.      18.      18.      26.     -70.
 342 18   86       0.       0.       0.       1.       1.       0.       0.       0.      28.      28.      39.    -157.
 342 19   86       0.       0.       0.       1.       1.       0.       0.       0.      -6.      -6.      18.     -88.
 342 20   86       0.       0.       0.       0.       0.       0.       0.       0.     -19.     -19.       6.     -74.
 342 21   86       0.       0.       0.       0.       0.       0.       0.       0.     -31.     -31.       3.     -66.
 342 22   86       0.       0.       0.       0.       0.       0.       0.       0.     -24.     -24.       5.     -57.
