AVERAGE PREDICTED MOISTURE CONTENT FOR EACH NODE (M3/M3)
  DY HR  YR   0.00  0.50  1.00  1.50  2.00  2.50  3.00  3.50  4.00  4.50  5.00
 340 22   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 23   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 340 24   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341  1   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341  2   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341  3   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341  4   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341  5   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341  6   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341  7   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341  8   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341  9   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 10   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 11   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 12   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 13   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 14   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 15   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 16   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 17   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 18   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 19   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 20   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 21   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 22   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 23   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 341 24   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342  1   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342  2   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342  3   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342  4   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342  5   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342  6   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342  7   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342  8   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342  9   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 10   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 11   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 12   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 13   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 14   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 15   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 16   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 17   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 18   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 19   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 20   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 21   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 22   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 23   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 342 24   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343  1   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343  2   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343  3   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343  4   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343  5   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343  6   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343  7   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343  8   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343  9   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 10   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 11   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 12   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 13   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 14   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 15   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 16   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 17   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 18   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 19   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 20   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 21   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 22   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 23   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 343 24   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344  1   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344  2   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344  3   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344  4   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344  5   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344  6   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344  7   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344  8   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344  9   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 10   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 11   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 12   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 13   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 14   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 15   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 16   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 17   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 18   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 19   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 20   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 21   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 22   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 23   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 344 24   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345  1   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345  2   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345  3   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345  4   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345  5   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345  6   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345  7   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345  8   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345  9   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 10   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 11   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 12   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 13   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 14   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 15   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 16   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 17   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 18   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 19   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 20   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 21   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 22   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 23   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 345 24   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346  1   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346  2   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346  3   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346  4   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346  5   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346  6   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346  7   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346  8   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346  9   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 10   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 11   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
 346 12   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
 346 13   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
 346 14   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 15   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 16   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 17   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 18   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 19   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 20   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 21   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 22   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 23   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 346 24   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347  1   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347  2   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347  3   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347  4   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347  5   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347  6   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347  7   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347  8   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347  9   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 10   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 11   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 12   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 13   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 14   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 15   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 16   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 17   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 18   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
 347 19   86-0.017-0.016-0.017-0.017-0.017 0.000-0.017-0.019-0.019-0.019-0.019
 347 20   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 21   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 22   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
 347 23   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 347 24   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 348  1   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 348  2   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 348  3   86-0.018-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 348  4   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 348  5   86-0.019-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
